9.999999999999223e-8	7.37712458617808	2.495641446653296e-18	-4.248361470487621e-12
1.0715193052375237e-7	7.841742032996612	3.2833296844968213e-18	-5.1842393059169915e-12
1.1481536214967949e-7	8.335621473342066	4.319632466256167e-18	-6.326283054706653e-12
1.230268770812288e-7	8.860605851923149	5.683018897443968e-18	-7.719909311013076e-12
1.3182567385563077e-7	9.418654183640248	7.476724939216153e-18	-9.420539557730847e-12
1.4125375446226485e-7	10.011848863782772	9.836570461139911e-18	-1.1495804158238952e-11
1.5135612484360958e-7	10.64240343862881	1.2941243555646091e-17	-1.4028231868750433e-11
1.6218100973588104e-7	11.31267086544341	1.7025830845026404e-17	-1.7118531827317892e-11
1.7378008287492483e-7	12.025152292698763	2.2399618299200045e-17	-2.088959853705328e-11
1.8620871366627325e-7	12.782506393279604	2.9469510446617814e-17	-2.5491399113029497e-11
1.995262314968736e-7	13.587559285501907	3.8770841286805836e-17	-3.1106937148033127e-11
2.1379620895020794e-7	14.4433150789656	5.1007909914540784e-17	-3.795953036713036e-11
2.2908676527676107e-7	15.35296708459358	6.710731022324532e-17	-4.632169148752728e-11
2.454708915684858e-7	16.319909730688757	8.828809282607182e-17	-5.65259654561918e-11
2.6302679918951984e-7	17.347751229473836	1.1615407187285983e-16	-6.897815403858704e-11
2.818382931264259e-7	18.440327041380602	1.5281526625820605e-16	-8.41734536716322e-11
3.019951720401809e-7	19.601714187331424	2.0104767077927016e-16	-1.0271614834816975e-10
3.2359365692960625e-7	20.83624646241976	2.6450345515528365e-16	-1.253436406760976e-10
3.4673685045250824e-7	22.148530607761302	3.479875072310278e-16	-1.5295577677508018e-10
3.715352290971477e-7	23.543463500861797	4.578212602847569e-16	-1.866506311981534e-10
3.981071705534709e-7	25.026250428648034	6.023213535351769e-16	-2.2776817496666986e-10
4.2657951880156464e-7	26.60242451135031	7.924293701406413e-16	-2.7794356330127623e-10
4.5708818961484525e-7	28.277867349716377	1.042540336609244e-15	-3.391721621860262e-10
4.897788193684145e-7	30.058830972604657	1.3715927178019718e-15	-4.138888997305154e-10
5.24807460249739e-7	31.951961166855146	1.804502442223029e-15	-5.05065097961021e-10
5.623413251903135e-7	33.964322276494435	2.3740495423503926e-15	-6.1632663583021e-10
6.025595860743199e-7	36.10342356381621	3.1233602668837303e-15	-7.520981425311308e-10
6.456542290346153e-7	38.37724723070356	4.10917261106937e-15	-9.177789553697014e-10
6.918309709188938e-7	40.79427820475821	5.406132531874004e-15	-1.119957839657389e-9
7.413102413008722e-7	43.363535801384906	7.11244615849329e-15	-1.3666750095667472e-9
7.943282347242334e-7	46.09460737997955	9.357315984987576e-15	-1.6677418699490109e-9
8.511380382023255e-7	48.997684119813236	1.2310724115408052e-14	-2.035131194549866e-9
9.120108393558555e-7	52.083599049109914	1.6196303351178256e-14	-2.4834532571618095e-9
9.772372209557533e-7	55.36386746922801	2.1308270722683896e-14	-3.030536850412584e-9
1.0471285480508386e-6	58.850729924790635	2.8033705676311656e-14	-3.698138298042559e-9
1.1220184543018987e-6	62.557197880109385	3.688185982682479e-14	-4.512806656545755e-9
1.2022644346173444e-6	66.49710227234836	4.852271761684988e-14	-5.506939513360868e-9
1.288249551693061e-6	70.68514512260685	6.383772770624056e-14	-6.720071368408236e-9
1.3803842646028076e-6	75.13695439750975	8.398654648479367e-14	-8.200445835102316e-9
1.4791083881681255e-6	79.8691423260286	1.1049484754378028e-13	-1.0006934183851542e-8
1.5848931924610266e-6	84.89936738914231	1.4536984606140327e-13	-1.2211376524345656e-8
1.6982436524616523e-6	90.24640021365997	1.9125228563750753e-13	-1.4901438730353143e-8
1.8197008586098858e-6	95.93019361609146	2.5161639605864825e-13	-1.8184098720710547e-8
1.9498445997579417e-6	101.9719570579375	3.3103296284542187e-13	-2.2189900738310174e-8
2.0892961308539297e-6	108.39423579023871	4.355154282739005e-13	-2.707814681050203e-8
2.2387211385682232e-6	115.22099498271129	5.72975230727003e-13	-3.3043231843989436e-8
2.3988329190193673e-6	122.4777091514076	7.53820860785196e-13	-4.032237428715655e-8
2.5703957827687334e-6	130.19145721860556	9.91745994733362e-13	-4.9205049791438425e-8
2.7542287033380283e-6	138.39102355964638	1.3047663831499283e-12	-6.004450302791603e-8
2.9512092266662393e-6	147.10700541379018	1.7165840080411575e-12	-7.327179545902529e-8
3.162277660168224e-6	156.37192705989253	2.2583818028395856e-12	-8.94129477146836e-8
3.388441561391861e-6	166.22036118296302	2.9711848319133884e-12	-1.0910985828782494e-7
3.630780547700839e-6	176.68905788449086	3.90896671868876e-12	-1.3314583044032927e-7
3.890451449942622e-6	187.8170818179448	5.142736541898741e-12	-1.6247672246883488e-7
4.168693834703159e-6	199.6459579611861	6.765915660763762e-12	-1.9826896010871067e-7
4.466835921509425e-6	212.21982656974413	8.901411603649297e-12	-2.419459227467488e-7
4.786300923226165e-6	225.58560788918172	1.1710924656816861e-11	-2.9524454812129567e-7
5.128613839913418e-6	239.7931772411829	1.5407191850494332e-11	-3.602844065555531e-7
5.495408738576001e-6	254.89555113670392	2.0270095459948375e-11	-4.396519916559466e-7
5.888436553555631e-6	270.94908511068945	2.6667855761284202e-11	-5.365035795331745e-7
6.309573444801659e-6	288.0136840165844	3.508491276273794e-11	-6.546907470332987e-7
6.760829753919528e-6	306.1530255653636	4.61586081231176e-11	-7.989135405657007e-7
7.244359600749595e-6	325.4347979432436	6.072744482142052e-11	-9.749073867188134e-7
7.762471166286594e-6	345.93095239474775	7.989457881187069e-11	-1.189671177692029e-6
